,asli,tanpa_stopword,lemmatized
0,"['a', 'virus', 'previously', 'unknown', 'to', 'science', 'is', 'causing', 'severe', 'lung', 'disease', 'in', 'china', 'and', 'has', 'also', 'been', 'detected', 'in', 'other', 'countries']","['virus', 'previously', 'unknown', 'science', 'causing', 'severe', 'lung', 'disease', 'china', 'also', 'detected', 'countries']","['virus', 'previously', 'unknown', 'science', 'causing', 'severe', 'lung', 'disease', 'china', 'also', 'detected', 'country']"
1,"['people', 'are', 'known', 'to', 'have', 'died', 'and', 'the', 'outbreak', 'shows', 'no', 'sign', 'of', 'stopping', 'soon']","['people', 'known', 'died', 'outbreak', 'shows', 'sign', 'stopping', 'soon']","['people', 'known', 'died', 'outbreak', 'show', 'sign', 'stopping', 'soon']"
2,"['a', 'new', 'virus', 'arriving', 'on', 'the', 'scene', 'leaving', 'patients', 'with', 'pneumonia', 'is', 'always', 'a', 'worry', 'and', 'health', 'officials', 'around', 'the', 'world', 'health', 'organization', 'has', 'declared', 'a', 'global', 'emergency']","['new', 'virus', 'arriving', 'scene', 'leaving', 'patients', 'pneumonia', 'always', 'worry', 'health', 'officials', 'around', 'world', 'health', 'organization', 'declared', 'global', 'emergency']","['new', 'virus', 'arriving', 'scene', 'leaving', 'patient', 'pneumonia', 'always', 'worry', 'health', 'official', 'around', 'world', 'health', 'organization', 'declared', 'global', 'emergency']"
3,"['can', 'this', 'outbreak', 'be', 'contained', 'or', 'is', 'this', 'something', 'far', 'more', 'dangerous']","['outbreak', 'contained', 'something', 'far', 'dangerous']","['outbreak', 'contained', 'something', 'far', 'dangerous']"
4,"['officials', 'in', 'china', 'have', 'confirmed', 'the', 'cases', 'are', 'caused', 'by', 'a', 'coronavirus']","['officials', 'china', 'confirmed', 'cases', 'caused', 'coronavirus']","['official', 'china', 'confirmed', 'case', 'caused', 'coronavirus']"
5,"['these', 'are', 'a', 'broad', 'family', 'of', 'viruses', 'but', 'only', 'six', 'the', 'new', 'one', 'would', 'make', 'it', 'seven', 'are', 'known', 'to', 'infect', 'people']","['broad', 'family', 'viruses', 'six', 'new', 'one', 'would', 'make', 'seven', 'known', 'infect', 'people']","['broad', 'family', 'virus', 'six', 'new', 'one', 'would', 'make', 'seven', 'known', 'infect', 'people']"
6,"['severe', 'acute', 'respiratory', 'syndrome', 'sars', 'which', 'is', 'caused', 'by', 'a', 'coronavirus', 'killed', '774', 'of', 'the', '8', '098', 'people', 'infected', 'in', 'an', 'outbreak', 'that', 'started', 'in', 'china', 'in', '2002']","['severe', 'acute', 'respiratory', 'syndrome', 'sars', 'caused', 'coronavirus', 'killed', '774', '8', '098', 'people', 'infected', 'outbreak', 'started', 'china', '2002']","['severe', 'acute', 'respiratory', 'syndrome', 'sars', 'caused', 'coronavirus', 'killed', '774', '8', '098', 'people', 'infected', 'outbreak', 'started', 'china', '2002']"
7,"['there', 'is', 'a', 'strong', 'memory', 'of', 'sars', 'that', 's', 'where', 'a', 'lot', 'of', 'fear', 'comes', 'from', 'but', 'we', 're', 'a', 'lot', 'more', 'prepared', 'to', 'deal', 'with', 'those', 'types', 'of', 'diseases', 'says', 'dr', 'josie', 'golding', 'from', 'the', 'wellcome', 'trust']","['strong', 'memory', 'sars', 'lot', 'fear', 'comes', 'lot', 'prepared', 'deal', 'types', 'diseases', 'says', 'dr', 'josie', 'golding', 'wellcome', 'trust']","['strong', 'memory', 'sars', 'lot', 'fear', 'come', 'lot', 'prepared', 'deal', 'type', 'disease', 'say', 'dr', 'josie', 'golding', 'wellcome', 'trust']"
8,"['it', 'seems', 'to', 'start', 'with', 'a', 'fever', 'followed', 'by', 'a', 'dry', 'cough', 'and', 'then', 'after', 'a', 'week', 'leads', 'to', 'shortness', 'of', 'breath', 'and', 'some', 'patients', 'needing', 'hospital', 'treatment']","['seems', 'start', 'fever', 'followed', 'dry', 'cough', 'week', 'leads', 'shortness', 'breath', 'patients', 'needing', 'hospital', 'treatment']","['seems', 'start', 'fever', 'followed', 'dry', 'cough', 'week', 'lead', 'shortness', 'breath', 'patient', 'needing', 'hospital', 'treatment']"
9,"['the', 'world', 'health', 'organization', 'says', 'data', 'from', '17', '000', 'patients', 'suggests', '82', 'have', 'mild', 'disease', '15', 'are', 'severe', 'and', '3', 'critical']","['world', 'health', 'organization', 'says', 'data', '17', '000', 'patients', 'suggests', '82', 'mild', 'disease', '15', 'severe', '3', 'critical']","['world', 'health', 'organization', 'say', 'data', '17', '000', 'patient', 'suggests', '82', 'mild', 'disease', '15', 'severe', '3', 'critical']"
